Unnamed: 0,name,original_style,brewery,abv,ave rating,min ibu,max ibu,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty,state,country,retired,style,milk,old,dark,wild,pale,red,imperial
152,Sawtooth,Bitter Strong - English,Left Hand Brewing Company,5.3,3.74,20,40,18,37,2,55,53,18,0,25,78,0,117,CO,US,f,Bitter,0,0,0,0,0,0,0
154,Harvest Ale,Bitter Strong - English,Southern Tier Brewing Company,6.7,3.87,20,40,18,26,11,74,21,23,0,26,105,9,52,NY,US,f,Bitter,0,0,0,0,0,0,0
157,Iron Maiden Trooper,Bitter Strong - English,Robinsons Family Brewers,4.7,3.45,20,40,18,25,6,46,39,36,5,36,81,2,70,GB2,GB,f,Bitter,0,0,0,0,0,0,0
158,Old Thumper,Bitter Strong - English,Shipyard Brewing Company,5.6,3.62,20,40,12,27,19,57,75,29,0,35,75,5,102,ME,US,f,Bitter,0,0,0,0,0,0,0
159,Abbot Ale,Bitter Strong - English,Greene King / Morland Brewery,5.0,3.68,20,40,9,42,5,30,63,16,3,19,51,7,92,GB2,GB,f,Bitter,0,0,0,0,0,0,0
162,Lord Rear Admiral,Bitter Strong - English,3 Floyds Brewing Co.,6.4,4.13,20,40,18,57,13,77,118,63,1,105,110,11,117,IN,US,f,Bitter,0,0,0,0,0,0,0
163,Extra Special Ale (Esa),Bitter Strong - English,Yards Brewing Co.,6.0,3.74,20,40,13,55,11,59,54,20,1,18,75,20,90,PA,US,f,Bitter,0,0,0,0,0,0,0
165,Foster'S Premium Ale,Bitter Strong - English,Foster's Group Limited,5.5,2.88,20,40,21,43,15,45,53,17,0,16,73,7,95,,AU,f,Bitter,0,0,0,0,0,0,0
167,Belk'S Esb,Bitter Strong - English,Anderson Valley Brewing Company,6.8,3.8,20,40,21,48,16,83,48,43,1,52,123,22,73,CA,US,f,Bitter,0,0,0,0,0,0,0
171,Esb Special Ale,Bitter Strong - English,Ska Brewing Co.,5.7,3.6,20,40,21,59,8,61,70,35,1,32,86,12,126,CO,US,f,Bitter,0,0,0,0,0,0,0
173,Old Man,Bitter Strong - English,Tree House Brewing Company,5.4,3.89,20,40,21,38,8,44,88,39,1,44,60,8,131,MA,US,f,Bitter,0,0,0,0,0,0,0
176,Bishops Finger,Bitter Strong - English,Shepherd Neame Ltd,5.4,3.69,20,40,10,34,11,44,52,25,1,36,56,6,79,GB2,GB,f,Bitter,0,0,0,0,0,0,0
177,13 Rebels Esb,Bitter Strong - English,French Broad River Brewing,5.2,3.55,20,40,14,31,7,54,41,27,0,26,77,2,84,NC,US,f,Bitter,0,0,0,0,0,0,0
178,Beast Bitter,Bitter Strong - English,"Middle Ages Brewing Co., Ltd.",5.3,3.91,20,40,31,59,10,112,62,54,0,53,130,8,99,NY,US,f,Bitter,0,0,0,0,0,0,0
